Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr22	1	1.721593	0.000000
chr22	61795	1.721593	0.001064
chr22	63231	0.735376	0.002120
chr22	63244	0.769231	0.002130
chr22	63799	0.733333	0.002537
chr22	64150	0.735043	0.002795
chr22	64934	0.742347	0.003377
chr22	65288	0.742938	0.003640
chr22	66370	0.746765	0.004448
chr22	68749	7.199664	0.021576
chr22	69094	7.220290	0.024067
chr22	69408	7.219745	0.026334
chr22	71079	7.219629	0.038398
chr22	71093	7.214286	0.038499
chr22	72892	7.191217	0.051436
chr22	74347	4.657045	0.058212
chr22	75254	3.325248	0.061228
chr22	76962	0.837237	0.062658
chr22	80655	0.491200	0.064472
chr22	82416	0.487791	0.065331
chr22	83570	0.487868	0.065894
chr22	85116	0.488357	0.066649
chr22	87416	0.487826	0.067771
chr22	90984	0.488229	0.069513
chr22	91088	1.048077	0.069622
chr22	91227	2.323741	0.069945
chr22	91346	2.907563	0.070291
chr22	91508	4.277778	0.070984
chr22	91707	4.979899	0.071975
chr22	92366	5.022762	0.075285
chr22	92527	2.596273	0.075703
chr22	92891	0.807692	0.075997
chr22	93440	0.391621	0.076212
chr22	93499	0.372881	0.076234
chr22	94091	0.364865	0.076450
chr22	95093	0.339321	0.076790
chr22	96931	0.337867	0.077411
chr22	97122	0.340314	0.077476
chr22	97394	0.345588	0.077570
chr22	98930	0.354818	0.078115
chr22	100272	0.372578	0.078615
chr22	100505	0.317597	0.078689
chr22	100699	0.231959	0.078734
chr22	101362	0.116139	0.078811
chr22	101905	0.081031	0.078855
chr22	102181	0.065217	0.078873
chr22	102799	0.051780	0.078905
chr22	103517	0.047354	0.078939
chr22	107201	0.047503	0.079114
chr22	108187	0.047667	0.079161
chr22	108328	0.063830	0.079170
chr22	109272	0.082627	0.079248
chr22	109377	0.123810	0.079261
chr22	121976	0.151599	0.081171
chr22	122508	0.150376	0.081251
chr22	124302	0.152174	0.081524
chr22	124412	0.254545	0.081552
chr22	124998	0.877133	0.082066
chr22	125121	0.951220	0.082183
chr22	125538	1.050360	0.082621
chr22	126529	10.232089	0.092761
chr22	126600	10.647887	0.093517
chr22	126614	10.071429	0.093658
chr22	126678	8.515625	0.094203
chr22	126760	6.890244	0.094768
chr22	126923	0.797546	0.094898
chr22	127194	0.738007	0.095098
chr22	127720	0.733840	0.095484
chr22	127952	0.732759	0.095654
chr22	128713	0.733246	0.096212
chr22	129013	0.743333	0.096435
chr22	129063	0.720000	0.096471
chr22	129613	0.730909	0.096873
chr22	129635	0.454545	0.096883
chr22	129864	0.462882	0.096989
chr22	131362	0.352470	0.097517
chr22	131495	0.353383	0.097564
chr22	131657	0.351852	0.097621
chr22	132775	0.355098	0.098018
chr22	133158	0.514360	0.098215
chr22	133900	0.522911	0.098603
chr22	134017	1.247863	0.098749
chr22	134476	5.457516	0.101254
chr22	134539	5.190476	0.101581
chr22	134643	4.278846	0.102026
chr22	134844	4.283582	0.102887
chr22	134931	1.068966	0.102980
chr22	135488	0.881508	0.103471
chr22	135897	0.408313	0.103638
chr22	136025	0.414062	0.103691
chr22	136374	1.068768	0.104064
chr22	136454	0.225000	0.104082
chr22	136568	0.210526	0.104106
chr22	136721	0.209150	0.104138
chr22	137310	0.213922	0.104264
chr22	137454	0.215278	0.104295
chr22	137900	0.215247	0.104391
chr22	137933	0.212121	0.104398
chr22	138004	0.211268	0.104413
chr22	138125	0.223140	0.104440
chr22	138148	0.217391	0.104445
chr22	138460	0.221154	0.104514
chr22	138555	0.221053	0.104535
chr22	138620	0.230769	0.104550
chr22	139154	0.220974	0.104668
chr22	139173	0.263158	0.104673
chr22	139409	0.220339	0.104725
chr22	139419	0.200000	0.104727
chr22	139456	0.243243	0.104736
chr22	139576	0.216667	0.104762
chr22	139745	0.224852	0.104800
chr22	139841	0.187500	0.104818
chr22	140086	0.151020	0.104855
chr22	140171	0.141176	0.104867
chr22	140280	0.128440	0.104881
chr22	140505	0.120000	0.104908
chr22	140506	0.000000	0.104908
chr22	140695	0.121693	0.104931
chr22	143723	0.120872	0.105297
chr22	143754	0.096774	0.105300
chr22	143918	0.170732	0.105328
chr22	144382	0.678879	0.105643
chr22	144551	6.520710	0.106745
chr22	144570	4.736842	0.106835
chr22	144899	2.945289	0.107804
chr22	145413	0.210117	0.107912
chr22	145853	0.211364	0.108005
chr22	146951	0.210383	0.108236
chr22	146995	0.227273	0.108246
chr22	147685	0.224638	0.108401
chr22	148084	0.233083	0.108494
chr22	149407	0.235828	0.108806
chr22	149975	0.257042	0.108952
chr22	151330	0.260517	0.109305
chr22	153267	0.294786	0.109876
chr22	157157	0.236247	0.110795
chr22	157746	0.329372	0.110989
chr22	160533	0.292788	0.111805
chr22	161502	0.121775	0.111923
chr22	161736	0.123932	0.111952
chr22	162683	0.125660	0.112071
chr22	164083	0.123571	0.112244
chr22	164284	0.114428	0.112267
chr22	164436	0.118421	0.112285
chr22	165802	0.114202	0.112441
chr22	165832	0.100000	0.112444
chr22	166163	0.114804	0.112482
chr22	166188	0.120000	0.112485
chr22	167900	0.113902	0.112680
chr22	168020	0.125000	0.112695
chr22	168241	0.131222	0.112724
chr22	168466	0.137778	0.112755
chr22	168728	0.145038	0.112793
chr22	169701	0.159301	0.112948
chr22	169995	0.204082	0.113008
chr22	170589	0.459596	0.113281
chr22	170642	0.452830	0.113305
chr22	170814	0.267442	0.113351
chr22	170940	0.269841	0.113385
chr22	171189	0.269076	0.113452
chr22	171822	0.268562	0.113622
chr22	171839	0.294118	0.113627
chr22	172741	0.271619	0.113872
chr22	172799	0.379310	0.113894
chr22	173928	0.444641	0.114396
chr22	176618	6.472491	0.131807
chr22	177225	6.472817	0.135736
chr22	178856	0.630288	0.136764
chr22	180188	0.480480	0.137404
chr22	181638	0.475862	0.138094
chr22	181967	0.474164	0.138250
chr22	182013	0.478261	0.138272
chr22	182886	0.473081	0.138685
chr22	183222	0.470238	0.138843
chr22	185844	0.468726	0.140072
chr22	185926	0.475610	0.140111
chr22	186405	0.482255	0.140342
chr22	188030	0.484923	0.141130
chr22	188107	0.493506	0.141168
chr22	188318	0.483412	0.141270
chr22	189520	0.485857	0.141854
chr22	191797	0.486166	0.142961
chr22	191809	2.166667	0.142987
chr22	192069	3.865385	0.143992
chr22	193321	4.320288	0.149401
chr22	194282	4.194589	0.153432
chr22	194527	3.318367	0.154245
chr22	195171	1.279503	0.155069
chr22	197162	0.373179	0.155812
chr22	197675	0.372320	0.156003
chr22	197804	0.372093	0.156051
chr22	200142	0.369547	0.156915
chr22	204242	0.337561	0.158299
chr22	206402	0.337500	0.159028
chr22	207903	0.453698	0.159709
chr22	208550	2.953632	0.161620
chr22	208685	3.318519	0.162068
chr22	209404	3.307371	0.164446
chr22	209851	2.630872	0.165622
chr22	210061	2.523810	0.166152
chr22	210306	2.444898	0.166751
chr22	210634	2.454268	0.167556
chr22	211509	2.466286	0.169714
chr22	213423	2.463427	0.174429
chr22	213523	2.050000	0.174634
chr22	216811	1.011861	0.177961
chr22	217074	1.642586	0.178393
chr22	217281	1.913043	0.178789
chr22	218783	2.350200	0.182319
chr22	219011	2.096491	0.182797
chr22	219662	1.569892	0.183819
chr22	220262	0.391667	0.184054
chr22	220290	0.392857	0.184065
chr22	220303	0.384615	0.184070
chr22	220757	0.394273	0.184249
chr22	221018	0.421456	0.184359
chr22	221308	0.655172	0.184549
chr22	221537	0.689956	0.184707
chr22	221853	0.715190	0.184933
chr22	221942	1.022472	0.185024
chr22	222262	1.240625	0.185421
chr22	222632	1.143243	0.185844
chr22	222730	1.357143	0.185977
chr22	222836	1.358491	0.186121
chr22	223255	1.093079	0.186579
chr22	223439	1.125000	0.186786
chr22	223538	1.070707	0.186892
chr22	223858	1.012500	0.187216
chr22	224128	1.003704	0.187487
chr22	225058	0.995699	0.188413
chr22	225444	0.665803	0.188670
chr22	225605	0.596273	0.188766
chr22	225622	0.588235	0.188776
chr22	226153	0.572505	0.189080
chr22	226430	0.480144	0.189213
chr22	226444	0.500000	0.189220
chr22	226518	0.405405	0.189250
chr22	227967	0.407177	0.189840
chr22	228355	0.420103	0.190003
chr22	228577	1.063063	0.190239
chr22	228706	0.674419	0.190326
chr22	228740	0.794118	0.190353
chr22	230177	0.939457	0.191703
chr22	230516	0.876106	0.192000
chr22	230983	1.578158	0.192737
chr22	232107	0.373665	0.193157
chr22	232580	0.446089	0.193368
chr22	233623	0.398849	0.193784
chr22	233858	3.502128	0.194607
chr22	234373	3.537864	0.196429
chr22	235722	3.534470	0.201197
chr22	236088	0.346995	0.201324
chr22	236168	0.312500	0.201349
chr22	236238	0.128571	0.201358
chr22	236419	0.044199	0.201366
chr22	236802	0.023499	0.201375
chr22	236828	0.038462	0.201376
chr22	236992	0.024390	0.201380
chr22	237418	0.025822	0.201391
chr22	237497	0.025316	0.201393
chr22	237545	0.041667	0.201395
chr22	237618	0.041096	0.201398
chr22	238020	0.067164	0.201425
chr22	238507	0.739220	0.201785
chr22	238530	0.826087	0.201804
chr22	238540	1.000000	0.201814
chr22	238737	1.197970	0.202050
chr22	239294	1.269300	0.202757
chr22	239664	1.132432	0.203176
chr22	239688	1.500000	0.203212
chr22	240706	1.798625	0.205043
chr22	241131	2.110588	0.205940
chr22	241366	2.336170	0.206489
chr22	241396	2.366667	0.206560
chr22	243147	2.396345	0.210756
chr22	243306	2.396226	0.211137
chr22	243352	2.391304	0.211247
chr22	243398	2.478261	0.211361
chr22	243420	2.500000	0.211416
chr22	244092	2.505952	0.213100
chr22	244933	2.507729	0.215209
chr22	246018	2.516129	0.217939
chr22	246392	2.524064	0.218883
chr22	247647	20.469323	0.244572
chr22	248064	20.470024	0.253108
chr22	248926	4.929234	0.257357
chr22	249240	4.885350	0.258891
chr22	250076	4.850478	0.262946
chr22	250934	4.851981	0.267109
chr22	251494	4.873214	0.269838
chr22	252165	4.926975	0.273144
chr22	252721	4.929856	0.275885
chr22	255240	4.958317	0.288375
chr22	255882	4.947040	0.291551
chr22	256107	3.573333	0.292355
chr22	256727	1.403226	0.293225
chr22	256886	1.427673	0.293452
chr22	256992	1.547170	0.293616
chr22	257032	2.450000	0.293714
chr22	258865	3.591926	0.300298
chr22	259398	3.240150	0.302025
chr22	260980	3.032238	0.306822
chr22	264997	3.032114	0.319002
chr22	265968	2.990731	0.321906
chr22	267842	2.905016	0.327350
chr22	267946	1.471154	0.327503
chr22	269006	0.216981	0.327733
chr22	269690	0.219298	0.327883
chr22	269703	1.538462	0.327903
chr22	270775	2.954291	0.331070
chr22	274333	3.488477	0.343482
chr22	277832	3.507002	0.355753
chr22	283535	4.087849	0.379066
chr22	283877	5.690058	0.381012
chr22	284814	6.293490	0.386909
chr22	284834	6.900000	0.387047
chr22	285323	7.421268	0.390676
chr22	286047	7.777624	0.396307
chr22	286526	7.509395	0.399904
chr22	286838	7.625000	0.402283
chr22	288233	10.230824	0.416555
chr22	288776	11.443831	0.422769
chr22	288922	11.445205	0.424440
chr22	288996	11.513514	0.425292
chr22	289362	11.513661	0.429506
chr22	289612	11.512000	0.432384
chr22	289785	11.502890	0.434374
chr22	290257	11.493644	0.439799
chr22	290297	11.375000	0.440254
chr22	290318	11.238095	0.440490
chr22	290763	11.123596	0.445440
chr22	291751	11.122470	0.456429
chr22	291971	10.040909	0.458638
chr22	296172	9.745537	0.499579
chr22	303936	13.135884	0.601566
chr22	304086	12.966667	0.603511
chr22	304550	12.560345	0.609339
chr22	308976	8.873023	0.648611
chr22	309692	8.632682	0.654792
chr22	310474	4.297954	0.658153
chr22	310493	4.052632	0.658230
chr22	311290	3.833124	0.661285
chr22	313237	3.789933	0.668664
chr22	315842	3.789251	0.678535
chr22	317985	3.790014	0.686657
chr22	320344	3.790165	0.695598
chr22	322612	3.792328	0.704199
chr22	323308	3.803161	0.706846
chr22	323583	3.992727	0.707944
chr22	324123	4.140741	0.710180
chr22	325102	4.183861	0.714276
chr22	326016	5.391685	0.719204
chr22	326150	8.246269	0.720309
chr22	326478	8.972561	0.723252
chr22	328959	8.973801	0.745516
chr22	329713	8.973475	0.752282
chr22	329842	9.069767	0.753452
chr22	333064	9.068281	0.782670
chr22	333463	9.075188	0.786291
chr22	333497	8.941176	0.786595
chr22	334403	8.789183	0.794558
chr22	335225	6.197080	0.799652
chr22	335621	6.199495	0.802107
chr22	336570	6.106428	0.807902
chr22	337386	6.118873	0.812895
chr22	340235	6.111267	0.830306
chr22	341868	6.110227	0.840284
chr22	341946	6.102564	0.840760
chr22	344079	6.147211	0.853872
chr22	344631	8.407609	0.858513
chr22	344885	8.818898	0.860753
chr22	345617	8.821038	0.867210
chr22	345864	8.894737	0.869407
chr22	346751	8.926719	0.877325
chr22	347202	9.006652	0.881387
chr22	347355	14.483660	0.883603
chr22	347382	38.555556	0.884644
chr22	347459	39.038961	0.887650
chr22	347558	40.393939	0.891649
chr22	347908	64.225714	0.914128
chr22	348166	64.224806	0.930698
chr22	348188	64.227273	0.932111
chr22	348334	64.226027	0.941488
chr22	349306	64.225309	1.003915
chr22	349737	32.617169	1.017973
chr22	350490	9.673307	1.025257
chr22	351015	9.598095	1.030296
chr22	351070	8.254545	1.030750
chr22	351601	6.868173	1.034397
chr22	351634	6.363636	1.034607
chr22	351664	5.866667	1.034783
chr22	351725	5.524590	1.035120
chr22	351944	5.378995	1.036298
chr22	352036	5.304348	1.036786
chr22	352170	5.313433	1.037498
chr22	352507	3.750742	1.038762
chr22	352717	3.623810	1.039523
chr22	353008	3.563574	1.040560
chr22	353085	2.935065	1.040786
chr22	353110	2.200000	1.040841
chr22	353709	1.477462	1.041726
chr22	356785	1.363134	1.045919
chr22	357050	1.347170	1.046276
chr22	358935	1.343767	1.048809
chr22	360460	1.434098	1.050996
chr22	360789	9.094225	1.053988
chr22	364747	10.896412	1.097116
chr22	365598	10.921269	1.106410
chr22	365607	10.888889	1.106508
