Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr22	1	1.509018	0.000000
chr22	11523	1.509018	0.000174
chr22	11543	4.900000	0.000272
chr22	11816	6.289377	0.001989
chr22	12092	6.355072	0.003743
chr22	12183	6.604396	0.004344
chr22	12716	7.287054	0.008228
chr22	12842	8.142857	0.009254
chr22	13034	8.156250	0.010820
chr22	51984	3.211836	0.135921
chr22	57731	3.207413	0.154354
chr22	59318	2.001890	0.157531
chr22	61355	0.289151	0.158120
chr22	69805	0.285799	0.160535
chr22	69836	0.290323	0.160544
chr22	73090	0.285187	0.161472
chr22	78172	3.434868	0.178928
chr22	85149	7.214132	0.229261
chr22	87505	0.233447	0.229811
chr22	87588	0.228916	0.229830
chr22	87933	0.231884	0.229910
chr22	91723	0.233245	0.230794
chr22	93276	0.233097	0.231156
chr22	99186	0.232995	0.232533
chr22	99779	0.232715	0.232671
chr22	100779	0.233000	0.232904
chr22	100825	0.217391	0.232914
chr22	100949	0.233871	0.232943
chr22	100977	0.250000	0.232950
chr22	112535	0.232307	0.235635
chr22	115574	0.235933	0.236352
chr22	122474	0.444928	0.239422
chr22	127159	0.692850	0.242668
chr22	127170	0.727273	0.242676
chr22	132301	0.756773	0.246559
chr22	132649	0.758621	0.246823
chr22	132671	0.727273	0.246839
chr22	135649	0.716924	0.248974
chr22	136305	0.702744	0.249435
chr22	136630	0.680000	0.249656
chr22	139767	0.667198	0.251749
chr22	143973	0.667142	0.254555
chr22	150399	0.671646	0.258871
chr22	154192	1.062220	0.262900
chr22	154457	0.860377	0.263128
chr22	159382	0.756548	0.266854
chr22	159885	0.180915	0.266945
chr22	160887	0.050898	0.266996
chr22	161240	0.045326	0.267012
chr22	161922	0.043988	0.267042
chr22	162039	0.042735	0.267047
chr22	164285	0.042297	0.267142
chr22	165098	0.043050	0.267177
chr22	165453	0.042254	0.267192
chr22	165503	0.060000	0.267195
chr22	166277	0.049096	0.267233
chr22	177063	0.049138	0.267763
chr22	177503	0.047727	0.267784
chr22	178007	0.049603	0.267809
chr22	179403	0.050143	0.267879
chr22	180486	0.051708	0.267935
chr22	182139	0.108288	0.268114
chr22	182253	0.105263	0.268126
chr22	182766	0.115010	0.268185
chr22	183621	0.087719	0.268260
chr22	184476	0.050292	0.268303
chr22	184704	0.061404	0.268317
chr22	185110	0.283251	0.268432
chr22	186998	0.305085	0.269008
chr22	188570	0.066794	0.269113
chr22	191751	0.039610	0.269239
chr22	193108	0.040531	0.269294
chr22	193162	0.037037	0.269296
chr22	194055	0.029115	0.269322
chr22	195405	0.029630	0.269362
chr22	195644	0.029289	0.269369
chr22	196829	0.030380	0.269405
chr22	199462	0.030004	0.269484
chr22	204232	0.031447	0.269634
chr22	207370	0.031549	0.269733
chr22	208998	0.124079	0.269935
